label,cycle,idx,question,ttft_s,total_s,out_tokens
apc-on-3cycle,0,1,Show top 5 customers by total order amount in the last 30 days.,5.4883,19.9995,67
apc-on-3cycle,0,2,List the 10 most popular products by total quantity sold.,1.4566,7.4803,34
apc-on-3cycle,0,3,What is the average order value per month for the past year?,0.2767,5.5044,58
apc-on-3cycle,0,4,Which suppliers have shipped the most orders?,1.9751,7.5434,51
apc-on-3cycle,0,5,Find customers who have not placed any order in the last 90 days.,1.4585,7.9966,62
apc-on-3cycle,0,6,Show daily revenue trend for the past 14 days.,3.642,10.8773,42
apc-on-3cycle,0,7,What is the total inventory value grouped by category?,0.5838,5.2913,43
apc-on-3cycle,0,8,List the top 3 sales reps by total revenue closed.,2.0816,11.1615,34
apc-on-3cycle,0,9,Which products have the highest return rate?,0.303,12.9657,89
apc-on-3cycle,0,10,"Show the conversion rate from quote to order, monthly.",3.17,28.3473,118
apc-on-3cycle,0,11,Find duplicate customer records based on email.,0.5539,4.7262,33
apc-on-3cycle,0,12,Calculate gross margin per product category.,0.6919,10.8364,67
apc-on-3cycle,0,13,Which regions had the highest YoY growth?,0.6151,22.0052,64
apc-on-3cycle,0,14,Show orders that took longer than 5 days to ship.,5.0459,12.3144,24
apc-on-3cycle,0,15,List products with stock below reorder threshold.,4.1569,9.1606,36
apc-on-3cycle,0,16,What is the customer lifetime value distribution?,0.2775,15.5809,89
apc-on-3cycle,0,17,Show the cohort retention by signup month.,2.1651,10.8357,88
apc-on-3cycle,0,18,Find sales reps whose performance dropped in Q4 vs Q3.,0.6226,16.7707,70
apc-on-3cycle,0,19,Which discount campaigns drove the most incremental revenue?,6.8563,18.1025,90
apc-on-3cycle,0,20,List orders that combine more than 3 product categories.,0.6867,13.18,82
apc-on-3cycle,0,21,What is the median order processing time per warehouse?,4.7368,10.1113,43
apc-on-3cycle,0,22,Show the top 10 highest-revenue customers and their primary product category.,0.3609,2.8778,44
apc-on-3cycle,0,23,Which product pairs are most often bought together?,0.2805,6.2266,40
apc-on-3cycle,0,24,What is the cancellation rate per payment method?,0.5914,6.7487,41
apc-on-3cycle,0,25,Find orders shipped to a different country than the billing address.,5.7925,7.8444,23
apc-on-3cycle,0,26,Show monthly active customers vs new customers.,0.5289,6.5005,117
apc-on-3cycle,0,27,Which suppliers had the most quality complaints last quarter?,0.426,7.5003,115
apc-on-3cycle,0,28,Calculate the average days between first order and second order per customer.,0.412,8.8746,93
apc-on-3cycle,0,29,Find products whose price changed more than 3 times in the past year.,0.5753,12.351,73
apc-on-3cycle,0,30,Show revenue by sales channel for the current quarter.,0.4515,8.1303,79
apc-on-3cycle,1,31,Show top 5 customers by total order amount in the last 30 days.,0.6882,5.1133,43
apc-on-3cycle,1,32,List the 10 most popular products by total quantity sold.,0.6567,5.4076,45
apc-on-3cycle,1,33,What is the average order value per month for the past year?,4.9736,11.4224,25
apc-on-3cycle,1,34,Which suppliers have shipped the most orders?,1.6406,6.116,25
apc-on-3cycle,1,35,Find customers who have not placed any order in the last 90 days.,0.3203,4.4768,18
apc-on-3cycle,1,36,Show daily revenue trend for the past 14 days.,1.2226,6.2546,49
apc-on-3cycle,1,37,What is the total inventory value grouped by category?,1.1554,4.8407,33
apc-on-3cycle,1,38,List the top 3 sales reps by total revenue closed.,0.6835,7.6323,46
apc-on-3cycle,1,39,Which products have the highest return rate?,1.9772,10.5056,89
apc-on-3cycle,1,40,"Show the conversion rate from quote to order, monthly.",0.4269,12.7043,80
apc-on-3cycle,1,41,Find duplicate customer records based on email.,1.5148,4.2992,31
apc-on-3cycle,1,42,Calculate gross margin per product category.,0.2933,5.4238,70
apc-on-3cycle,1,43,Which regions had the highest YoY growth?,0.357,9.2132,76
apc-on-3cycle,1,44,Show orders that took longer than 5 days to ship.,2.6033,4.0447,23
apc-on-3cycle,1,45,List products with stock below reorder threshold.,0.2864,3.6153,33
apc-on-3cycle,1,46,What is the customer lifetime value distribution?,1.7536,11.8058,65
apc-on-3cycle,1,47,Show the cohort retention by signup month.,0.5336,10.8197,44
apc-on-3cycle,1,48,Find sales reps whose performance dropped in Q4 vs Q3.,0.7938,14.917,76
apc-on-3cycle,1,49,Which discount campaigns drove the most incremental revenue?,0.7841,10.78,80
apc-on-3cycle,1,50,List orders that combine more than 3 product categories.,3.8961,11.5725,101
apc-on-3cycle,1,51,What is the median order processing time per warehouse?,0.3885,5.607,26
apc-on-3cycle,1,52,Show the top 10 highest-revenue customers and their primary product category.,0.3784,3.5972,19
apc-on-3cycle,1,53,Which product pairs are most often bought together?,1.0388,5.833,45
