label,cycle,idx,question,ttft_s,total_s,out_tokens
omlx-long,0,1,Show top 5 customers by total order amount in the last 30 days.,0.0043,1.84,64
omlx-long,0,2,List the 10 most popular products by total quantity sold.,0.0062,1.8468,66
omlx-long,0,3,What is the average order value per month for the past year?,0.0064,2.4126,91
omlx-long,0,4,Which suppliers have shipped the most orders?,0.0067,1.9747,65
omlx-long,0,5,Find customers who have not placed any order in the last 90 days.,0.0062,1.3662,42
omlx-long,0,6,Show daily revenue trend for the past 14 days.,0.007,2.3361,96
omlx-long,0,7,What is the total inventory value grouped by category?,0.0054,1.8316,68
omlx-long,0,8,List the top 3 sales reps by total revenue closed.,0.0068,2.3188,95
omlx-long,0,9,Which products have the highest return rate?,0.0061,1.4068,46
omlx-long,0,10,"Show the conversion rate from quote to order, monthly.",0.0066,2.2754,89
omlx-long,0,11,Find duplicate customer records based on email.,0.0072,1.3004,35
omlx-long,0,12,Calculate gross margin per product category.,0.0066,2.3051,96
omlx-long,0,13,Which regions had the highest YoY growth?,0.0066,2.2811,93
omlx-long,0,14,Show orders that took longer than 5 days to ship.,0.0077,1.2701,38
omlx-long,0,15,List products with stock below reorder threshold.,0.0065,2.2272,92
omlx-long,0,16,What is the customer lifetime value distribution?,0.007,2.4171,96
omlx-long,0,17,Show the cohort retention by signup month.,0.018,2.6638,88
omlx-long,0,18,Find sales reps whose performance dropped in Q4 vs Q3.,0.0079,2.2857,92
omlx-long,0,19,Which discount campaigns drove the most incremental revenue?,0.0072,2.3657,96
omlx-long,0,20,List orders that combine more than 3 product categories.,0.0059,2.3012,94
omlx-long,0,21,What is the median order processing time per warehouse?,0.0073,2.3036,96
omlx-long,0,22,Show the top 10 highest-revenue customers and their primary product category.,0.0076,1.397,44
omlx-long,0,23,Which product pairs are most often bought together?,0.0081,2.3985,90
omlx-long,0,24,What is the cancellation rate per payment method?,0.0075,1.5745,54
omlx-long,0,25,Find orders shipped to a different country than the billing address.,0.0057,1.3616,44
omlx-long,0,26,Show monthly active customers vs new customers.,0.0072,2.2822,90
omlx-long,0,27,Which suppliers had the most quality complaints last quarter?,0.0063,2.2844,86
